Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,64.563926696777301
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,15.517173767089799
Nov 2015 - Abr 2016,NACIONAL,NO SABE,19.918897628784102
Nov 2015 - Abr 2016,URBANO,NADA / POCO,68.355064392089801
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,17.1124172210693
Nov 2015 - Abr 2016,URBANO,NO SABE,14.532519340515099
Nov 2015 - Abr 2016,RURAL,NADA / POCO,49.564010620117102
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,9.2054624557495099
Nov 2015 - Abr 2016,RURAL,NO SABE,41.230525970458899
Dic 2015 - May 2016,NACIONAL,NADA / POCO,64.543922424316406
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,15.429846763610801
Dic 2015 - May 2016,NACIONAL,NO SABE,20.026229858398398
Dic 2015 - May 2016,URBANO,NADA / POCO,68.385932922363196
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,16.8274211883544
Dic 2015 - May 2016,URBANO,NO SABE,14.7866468429565
Dic 2015 - May 2016,RURAL,NADA / POCO,49.316841125488203
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,9.89082527160644
Dic 2015 - May 2016,RURAL,NO SABE,40.792331695556598
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,64.684616088867102
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,15.304328918456999
Ene 2016 - Jun 2016,NACIONAL,NO SABE,20.011053085327099
Ene 2016 - Jun 2016,URBANO,NADA / POCO,68.623252868652301
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,16.612382888793899
Ene 2016 - Jun 2016,URBANO,NO SABE,14.764365196228001
Ene 2016 - Jun 2016,RURAL,NADA / POCO,49.012588500976499
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,10.099513053894
Ene 2016 - Jun 2016,RURAL,NO SABE,40.887901306152301
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,64.374664306640597
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,15.0112609863281
Feb 2016 - Jul 2016,NACIONAL,NO SABE,20.614076614379801
Feb 2016 - Jul 2016,URBANO,NADA / POCO,68.343544006347599
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,16.241304397583001
Feb 2016 - Jul 2016,URBANO,NO SABE,15.4151515960693
Feb 2016 - Jul 2016,RURAL,NADA / POCO,48.558868408203097
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,10.1095991134643
Feb 2016 - Jul 2016,RURAL,NO SABE,41.331531524658203
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,64.356285095214801
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,14.622056007385201
Mar 2016 - Ago 2016,NACIONAL,NO SABE,21.021657943725501
Mar 2016 - Ago 2016,URBANO,NADA / POCO,68.161636352539006
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,15.681393623351999
Mar 2016 - Ago 2016,URBANO,NO SABE,16.1569728851318
Mar 2016 - Ago 2016,RURAL,NADA / POCO,49.2158203125
Mar 2016 - Ago 2016,RURAL,SUFICIENTE / BASTANTE,10.407229423522899
Mar 2016 - Ago 2016,RURAL,NO SABE,40.376949310302699
Abr 2016 - Sep 2016,NACIONAL,NADA / POCO,64.918930053710895
Abr 2016 - Sep 2016,NACIONAL,SUFICIENTE / BASTANTE,14.0783233642578
Abr 2016 - Sep 2016,NACIONAL,NO SABE,21.0027465820312
Abr 2016 - Sep 2016,URBANO,NADA / POCO,68.626136779785099
Abr 2016 - Sep 2016,URBANO,SUFICIENTE / BASTANTE,15.0184516906738
Abr 2016 - Sep 2016,URBANO,NO SABE,16.355413436889599
Abr 2016 - Sep 2016,RURAL,NADA / POCO,50.167808532714801
Abr 2016 - Sep 2016,RURAL,SUFICIENTE / BASTANTE,10.3375082015991
Abr 2016 - Sep 2016,RURAL,NO SABE,39.494682312011697
May 2016 - Oct 2016,NACIONAL,NADA / POCO,64.470161437988196
May 2016 - Oct 2016,NACIONAL,SUFICIENTE / BASTANTE,14.1492557525634
May 2016 - Oct 2016,NACIONAL,NO SABE,21.3805828094482
May 2016 - Oct 2016,URBANO,NADA / POCO,67.914657592773395
May 2016 - Oct 2016,URBANO,SUFICIENTE / BASTANTE,15.1338806152343
May 2016 - Oct 2016,URBANO,NO SABE,16.951459884643501
May 2016 - Oct 2016,RURAL,NADA / POCO,50.699089050292898
May 2016 - Oct 2016,RURAL,SUFICIENTE / BASTANTE,10.2127361297607
