Período,DEPARTAMENTO,SE SINTIERON ALGUNA VEZ DISCRIMINADOS,Numero Faltas
Nov 2015 - Abr 2016,AMAZONAS,PARA ELEGIR AUTORIDADES,63.000959999999999
Nov 2015 - Abr 2016,AMAZONAS,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,77.650859999999994
Nov 2015 - Abr 2016,ANCASH,PARA ELEGIR AUTORIDADES,90.311430000000001
Nov 2015 - Abr 2016,ANCASH,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,77.731229999999996
Nov 2015 - Abr 2016,APURÍMAC,PARA ELEGIR AUTORIDADES,53.13532
Nov 2015 - Abr 2016,APURÍMAC,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,49.052700000000002
Nov 2015 - Abr 2016,AREQUIPA,PARA ELEGIR AUTORIDADES,66.816900000000004
Nov 2015 - Abr 2016,AREQUIPA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,67.457089999999994
Nov 2015 - Abr 2016,AYACUCHO,PARA ELEGIR AUTORIDADES,48.476730000000003
Nov 2015 - Abr 2016,AYACUCHO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,54.105930000000001
Nov 2015 - Abr 2016,CAJAMARCA,PARA ELEGIR AUTORIDADES,40.805970000000002
Nov 2015 - Abr 2016,CAJAMARCA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,63.598730000000003
Nov 2015 - Abr 2016,CUSCO,PARA ELEGIR AUTORIDADES,55.552630000000001
Nov 2015 - Abr 2016,CUSCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,49.327579999999998
Nov 2015 - Abr 2016,HUANCAVELICA,PARA ELEGIR AUTORIDADES,71.46651
Nov 2015 - Abr 2016,HUANCAVELICA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,35.592370000000003
Nov 2015 - Abr 2016,HUÁNUCO,PARA ELEGIR AUTORIDADES,67.931430000000006
Nov 2015 - Abr 2016,HUÁNUCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,63.272979999999997
Nov 2015 - Abr 2016,ICA,PARA ELEGIR AUTORIDADES,57.486919999999998
