AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,CODINFOR,UBIGEO,DOMINIO,ESTRATO,P32,P33_1,P33_2,P34,P37,P38,P38A,P39A,P40$1,P40$2,P40$3,P40$4,P40$5,P40$6,P40$7,P40$8,P41,P42$1,P42$2,P42$3,P42$4,P42$5,P42$6,P42$7,P42$8,P43,P45_1,P45_2,P46,P47,FACTOR07
2008,04,0001,010,11,02,02,010101,4,4,2,3,3, ,3,1500,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,3,6,6,181.31
2008,04,0001,019,11,02,02,010101,4,4,4,2,3, ,2,3000,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,1,6,6,181.31
2008,04,0001,027,11,02,02,010101,4,4,2,3,3, ,2,2000,3,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,2,7,6,181.31
2008,04,0001,035,11,02,02,010101,4,4,2,2,3, ,2,900,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,1,6,6,181.31
2008,04,0001,054,11,01,01,010101,4,4,2,2,2, ,3,1200,3,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,5,6,1,181.31
2008,04,0001,062,11,02,02,010101,4,4,2,3,3, ,2,600,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,1,9,6,181.31
2008,08,0002,014,11,01,00,010101,4,4,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,179.79
2008,08,0002,028,11,01,01,010101,4,4,2,3,2, ,3,1500,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,3,6,6,179.79
2008,08,0002,041,11,01,00,010101,4,4,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,179.79
2008,08,0002,068,11,01,01,010101,4,4,4,3,3, ,2,1800,3,3,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,2,4,4,4,6,179.79
2008,08,0002,081,11,01,01,010101,4,4,1,3,2, ,3,300,3,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,10,10,6, ,179.79
2008,08,0002,107,11,01,01,010101,4,4,4,3,3, ,2,1000,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,6, ,179.79
2008,09,0003,021,11,01,01,010101,4,4,1,3,1,7,3,2000,3,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7,7,6, ,179.79
2008,09,0003,026,11,01,01,010101,4,4,2,3,2, ,3,2000,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,8,7,6,6,179.79
2008,09,0003,034,11,01,01,010101,4,4,2,3,2, ,3,3000,1,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,7,3,6,6,179.79
2008,09,0003,076,11,01,01,010101,4,4,2,3,2, ,3,2000,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6, ,179.79
2008,09,0003,088,11,01,01,010101,4,4,2,3,3, ,3,99999,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,1,6, ,179.79
2008,09,0003,100,11,01,01,010101,4,4,2,3,3, ,3,1500,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,2,6, ,179.79
2008,10,0004,009,11,01,01,010101,4,4,2,3,2, ,3,800,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6, ,204.46
2008,10,0004,024,11,01,01,010101,4,4,4,3,2, ,3,1500,1,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,1,1,6,6,204.46
2008,10,0004,120,11,01,01,010101,4,4,2,3,3, ,3,1000,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,1,7, ,204.46
2008,11,0005,023,11,01,01,010101,4,4,2,1,1,6,3,1500,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,6,6,99.56
2008,11,0005,036,11,01,01,010101,4,4,2,3,2, ,2,2000,3,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,4,3,5, ,99.56
2008,11,0005,071,11,01,01,010101,4,4,2,2,2, ,3,800,3,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,10,6, ,99.56
2008,11,0005,083,11,02,02,010101,4,4,4,2,2, ,3,1000,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,3,3,6,6,99.56
2008,11,0005,107,11,02,02,010101,4,4,1,3,2, ,3,1500,1,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,3,9,6,99.56
2008,12,0006,010,11,01,01,010101,4,4,4,2,2, ,3,1500,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,4,2,6,6,204.46
2008,12,0006,031,11,01,01,010101,4,4,2,3,2, ,3,1500,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,5,1,6, ,204.46
2008,12,0006,041,11,01,01,010101,4,4,3,1,1,7,3,200,3,2,0,0,1,0,0,0,0,0,4, , , , , , , , , ,4,3,5, ,204.46
2008,12,0006,052,11,02,02,010101,4,4,2,3,2, ,3,8000,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,9,6,204.46
2008,12,0006,076,11,01,01,010101,4,4,2,3,2, ,3,2000,3,4,0,0,1,0,0,0,0,0,4, , , , , , , , , ,10,2,6, ,204.46
2008,01,0007,014,11,02,02,010101,4,4,4,2,2, ,3,300,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,10,9,6,84.21
2008,01,0007,047,11,01,01,010101,4,4,4,3,3, ,2,200,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,6, ,84.21
2008,01,0007,058,11,01,01,010101,4,4,4,3,3, ,2,500,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,2,2,6, ,84.21
2008,01,0007,082,11,01,01,010101,4,4,2,3,2, ,3,500,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,6,6,84.21
2008,01,0007,093,11,02,02,010101,4,4,2,2,2, ,3,1500,3,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,1,1,9,6,84.21
2008,01,0007,114,11,02,02,010101,4,4,2,2,2, ,3,600,2,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,1,6,6,84.21
2008,02,0008,009,11,01,01,010101,4,4,2,2,2, ,3,2500,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,2,6,9,84.21
2008,02,0008,040,11,01,01,010101,4,4,1,3,3, ,3,1300,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,1,6, ,84.21
2008,02,0008,053,11,01,01,010101,4,4,4,3,3, ,2,250,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,6, ,84.21
2008,02,0008,069,11,01,01,010101,4,4,2,2,2, ,3,900,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,10,6, ,84.21
2008,02,0008,113,11,01,01,010101,4,4,2,3,2, ,2,500,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,2,6,6,84.21
2008,03,0009,009,11,02,02,010101,4,4,2,2,1,6,3,1500,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6,6,84.21
2008,03,0009,043,11,02,02,010101,4,4,2,2,2, ,3,800,2,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,4,3,6,6,84.21
2008,03,0009,057,11,02,02,010101,4,4,2,2,1,6,3,800,1,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,4,2,6,6,84.21
2008,03,0009,086,11,01,01,010101,4,4,2,2,2, ,3,2500,3,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6,6,84.21
2008,03,0009,100,11,01,01,010101,4,4,4,2,2, ,3,500,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,1,6,6,84.21
2008,03,0009,131,11,01,01,010101,4,4,2,3,3, ,3,800,3,3,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,2,1,6,9,84.21
2008,04,0010,011,11,02,02,010101,4,4,2,3,2, ,3,2000,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6,6,88.29
2008,04,0010,037,11,02,02,010101,4,4,4,2,3, ,3,700,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,6,6,88.29
2008,04,0010,072,11,01,01,010101,4,4,2,3,1,6,4,300,1,3,0,0,1,0,0,0,0,0,4, , , , , , , , , ,1,1,5, ,88.29
2008,04,0010,084,11,01,01,010101,4,4,2,3,3, ,3,2000,3,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,2,1,1,88.29
2008,04,0010,101,11,02,02,010101,4,4,4,1,3, ,3,600,1,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,5,2,6,6,88.29
2008,05,0011,008,11,01,01,010101,4,4,2,2,1,7,3,1500,3,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,1,1,7, ,88.29
