AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,CODINFOR,UBIGEO,DOMINIO,ESTRATO,P48,P49,P50,P51,P51C,P52C,P52,P53,P54,P55,P55C,FACTOR07
2008,10,0004,009,11,01,01,010101,4,4,0,2693,1,1,17, ,3, , , , ,204.46
2008,10,0004,024,11,01,01,010101,4,4,0,3610,4,1,2, ,1, , , , ,204.46
2008,10,0004,120,11,01,01,010101,4,4,0,4520,2,1,1, ,1, , , , ,204.46
2008,11,0005,023,11,01,01,010101,4,4,0,130,2,1,6,971,0,130,5,1,6,99.56
2008,11,0005,036,11,01,01,010101,4,4,0,8519,2,1,2,945,0,8519,5,1,2,99.56
2008,11,0005,071,11,01,01,010101,4,4,0,4520,4,6, , ,3, , , , ,99.56
2008,11,0005,083,11,02,02,010101,4,4,0,130,1,1,5,971,0,130,5,1,5,99.56
2008,11,0005,107,11,02,02,010101,4,4,9, , , , , ,9, , , , ,99.56
2008,12,0006,010,11,01,01,010101,4,4,0,130,2,6, , ,3, , , , ,204.46
2008,12,0006,031,11,01,01,010101,4,4,0,7523,3,5,9998,522,0,5520,1,1,5,204.46
2008,12,0006,041,11,01,01,010101,4,4,0,130,1,1,12,571,0,5520,1,1,8,204.46
2008,12,0006,052,11,02,02,010101,4,4,9, , , , , ,9, , , , ,204.46
2008,12,0006,076,11,01,01,010101,4,4,0,6411,3,6, , ,3, , , , ,204.46
2008,10,0014,021,11,01,01,010101,4,4,0,130,1,1,7,971,0,130,5,1,7,99.56
2008,10,0014,033,11,01,01,010101,4,4,0,3691,2,1,1,522,0,5520,2,1,2,99.56
2008,10,0014,045,11,02,02,010101,4,4,0,5122,1,1,4,571,0,5122,5,1,4,99.56
2008,10,0014,070,11,01,01,010101,4,4,0,4520,4,1,5,971,0,130,5,1,8,99.56
2008,10,0014,082,11,01,01,010101,4,4,0,1920,2,1,2, ,1, , , , ,99.56
2008,10,0014,109,11,02,02,010101,4,4,0,7511,3,5,9998,572,0,5211,2,1,5,99.56
2008,10,0024,006,11,01,01,010110,4,6,0,130,1,1,8,971,0,130,5,1,8,102.19
2008,10,0024,018,11,01,01,010110,4,6,1, , , , , ,1, , , , ,102.19
2008,10,0024,038,11,02,02,010110,4,6,0,130,2,1,3,971,0,130,5,1,3,102.19
2008,10,0024,070,11,01,01,010110,4,6,0,130,1,1,7,971,0,130,5,1,7,102.19
2008,10,0024,091,11,01,01,010110,4,6,1, , , , , ,1, , , , ,102.19
2008,10,0024,101,11,02,02,010110,4,6,0,130,1,1,8,971,0,130,5,1,8,102.19
2008,10,0024,122,11,01,01,010110,4,6,0,5259,2,1,4, ,3, , , , ,102.19
2008,11,0025,002,11,01,01,010502,4,7,0,130,2,1,4, ,1, , , , ,96.66
2008,11,0025,003,11,01,01,010502,4,7,0,130,1,1,5,971,0,130,5,1,5,96.66
2008,11,0025,004,11,01,01,010502,4,7,1, , , , ,615,0,130,2,1,3,96.66
2008,11,0025,101,11,01,01,010502,4,7,0,5020,1,1,3,971,0,130,5,1,10,96.66
2008,11,0025,102,11,01,01,010502,4,7,0,130,1,1,10,971,0,130,5,1,10,96.66
2008,11,0025,103,11,02,02,010502,4,7,1, , , , ,615,0,130,2,1,6,96.66
2008,11,0025,104,11,02,02,010502,4,7,9, , , , , ,9, , , , ,96.66
2008,12,0026,033,11,01,01,010509,4,7,0,130,2,1,4,971,0,130,5,1,4,96.66
2008,12,0026,034,11,02,02,010509,4,7,0,130,2,1,4,971,0,130,5,1,4,96.66
2008,12,0026,035,11,01,01,010509,4,7,1, , , , ,615,0,130,1,1,3,96.66
2008,12,0026,036,11,01,01,010509,4,7,0,130,2,1,2, ,3, , , , ,96.66
2008,12,0026,103,11,01,00,010509,4,7, , , , , , , , , , , ,96.66
2008,12,0026,104,11,02,02,010509,4,7,0,130,2,1,3, ,3, , , , ,96.66
2008,12,0026,106,11,01,01,010509,4,7,2, , , , , ,3, , , , ,96.66
2008,10,0036,013,11,02,02,010503,4,8,9, , , , , ,9, , , , ,96.66
2008,10,0036,014,11,02,02,010503,4,8,0,130,5,1,5,971,0,130,5,1,5,96.66
2008,10,0036,015,11,01,01,010503,4,8,0,130,5,1,8,971,0,130,5,1,8,96.66
2008,10,0036,056,11,02,02,010503,4,8,0,130,2,1,6,971,0,130,5,1,6,96.66
2008,10,0036,057,11,01,01,010503,4,8,0,130,2,1,5,971,0,130,2,1,5,96.66
2008,10,0036,058,11,02,02,010503,4,8,1, , , , ,615,0,130,1,1,5,96.66
2008,10,0036,059,11,02,02,010503,4,8,9, , , , , ,9, , , , ,96.66
2008,10,0036,060,11,02,02,010503,4,8,9, , , , , ,9, , , , ,96.66
2008,11,0037,013,11,01,01,010114,4,8,0,130,2,1,6,971,0,130,5,1,6,96.66
2008,11,0037,014,11,01,01,010114,4,8,0,130,2,1,4, ,1, , , , ,96.66
2008,11,0037,045,11,02,02,010114,4,8,0,130,2,1,4,971,0,130,5,1,4,96.66
2008,11,0037,046,11,01,01,010114,4,8,0,130,2,1,4,971,0,130,5,1,4,96.66
2008,11,0037,049,11,01,01,010114,4,8,0,130,2,1,5,971,0,130,5,1,5,96.66
2008,11,0037,050,11,01,01,010114,4,8,0,130,1,1,5,971,0,130,5,1,5,96.66
2008,11,0037,051,11,02,02,010114,4,8,0,130,2,1,6,971,0,130,5,1,6,96.66
2008,12,0038,010,11,01,01,010109,4,8,1, , , , ,615,0,130,2,1,3,96.66
2008,12,0038,012,11,01,01,010109,4,8,0,130,2,1,7,971,0,130,5,1,7,96.66
2008,12,0038,013,11,02,02,010109,4,8,9, , , , , ,9, , , , ,96.66
2008,12,0038,016,11,01,01,010109,4,8,0,130,2,1,4,971,0,130,5,1,4,96.66
2008,12,0038,063,11,01,01,010109,4,8,0,130,2,1,4,971,0,130,5,1,4,96.66
2008,12,0038,064,11,02,02,010109,4,8,0,130,2,1,6,971,0,130,5,1,6,96.66
2008,12,0038,066,11,01,01,010109,4,8,0,130,1,1,9,971,0,130,5,1,9,96.66
2008,12,0038,067,11,01,01,010109,4,8,0,130,2,1,3,971,0,130,5,1,3,96.66
2008,10,0041,026,11,01,01,010201,7,4,0,1541,2,1,6,766,0,1541,5,1,6,129.43
2008,10,0041,042,11,01,01,010201,7,4,0,130,2,1,4, ,1, , , , ,129.43
2008,10,0041,068,11,02,02,010201,7,4,0,130,2,1,6,971,0,130,5,1,6,129.43
2008,10,0041,080,11,02,02,010201,7,4,0,111,4,6, , ,3, , , , ,129.43
