AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,CODINFOR,UBIGEO,DOMINIO,ESTRATO,P32,P33_1,P33_2,P34,P37,P38,P38A,P39A,P40$1,P40$2,P40$3,P40$4,P40$5,P40$6,P40$7,P40$8,P41,P42$1,P42$2,P42$3,P42$4,P42$5,P42$6,P42$7,P42$8,P43,P45_1,P45_2,P46,P47,TICUEST01B,FACTOR07
2011,04,0001,019,11,01,01,010101,4,4,4,1,2, ,3,3000,1,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,1,6,6, ,223.87
2011,04,0001,054,11,01,01,010101,4,4,2,1,2, ,3,1200,3,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,5,5,6,6,2,223.87
2011,04,0001,062,11,02,02,010101,4,4,2,2,1,7,3,1500,1,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,1,6,2,223.87
2011,08,0002,017,11,01,01,010101,4,4,3,2,2, ,3,1500,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,2,6, ,1,124.37
2011,08,0002,030,11,01,01,010101,4,4,4,3,2, ,3,800,3,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,3,3,6,6,1,124.37
2011,08,0002,045,11,01,01,010101,4,4,2,2,2, ,3,3500,3,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6,6,1,124.37
2011,08,0002,070,11,01,01,010101,4,4,2,2,2, ,3,2500,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,2,6,9, ,124.37
2011,08,0002,096,11,02,02,010101,4,4,2,2,2, ,2,1000,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,9,6, ,124.37
2011,08,0002,108,11,02,02,010101,4,4,4,2,2, ,3,400,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,9,6,1,124.37
2011,09,0003,002,11,01,01,010101,4,4,2,1,1,7,3,6000,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,5,3,6,1,1,124.37
2011,09,0003,015,11,02,01,010101,4,4,2,2,3, ,3,1000,2,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,10,8,6, ,124.37
2011,09,0003,028,11,01,01,010101,4,4,2,3,2, ,3,2500,3,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6, ,1,124.37
2011,09,0003,067,11,01,01,010101,4,4,4,3,3, ,2,2000,2,1,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,1,6, ,1,124.37
2011,09,0003,081,11,02,02,010101,4,4,2,3,2, ,3,1000,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,4,7,6, ,124.37
2011,10,0004,013,11,02,02,010101,4,4,3,2,2, ,3,1500,3,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6,6,1,133.02
2011,10,0004,027,11,01,01,010101,4,4,2,3,2, ,3,800,2,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,10,6, ,1,133.02
2011,10,0004,058,11,01,01,010101,4,4,1,2,2, ,3,1500,2,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,5,5,6,6,1,133.02
2011,10,0004,096,11,01,01,010101,4,4,3,1,1,7,3,1500,2,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,6, ,1,133.02
