AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,P613HN,P613H,P613H1,P613H2,P613H3,P613H4,P613H5,TICUEST01,D613H4,I613H4,FACTOR07,NCONGLOME,SUB_CONGLOME
2023,01,015545,010,11,040104,6,1,1,2, , , , , ,2, , ,286.620330810547,51210,00
2023,01,015545,010,11,040104,6,1,2,1,3,1,1,2, ,2,110.296333312988,110.296333312988,286.620330810547,51210,00
2023,01,015545,010,11,040104,6,1,3,2, , , , , ,2, , ,286.620330810547,51210,00
2023,01,016233,033,11,070106,8,1,1,2, , , , , ,2, , ,257.89501953125,17788,00
2023,01,016233,033,11,070106,8,1,2,1,1,2,3, ,1,2, ,1546.19995117188,257.89501953125,17788,00
2023,01,016233,033,11,070106,8,1,3,2, , , , , ,2, , ,257.89501953125,17788,00
2023,01,017414,011,11,130102,1,1,1,2, , , , , ,2, , ,403.888488769531,48744,00
2023,01,017414,011,11,130102,1,1,2,1,2,4,1,1.5, ,2,504.927062988281,504.927062988281,403.888488769531,48744,00
2023,01,017414,011,11,130102,1,1,3,2, , , , , ,2, , ,403.888488769531,48744,00
2023,01,017414,092,11,130102,1,1,1,1,1,1,1,1, ,2,280.515045166016,280.515045166016,403.888488769531,48744,00
2023,01,017414,092,11,130102,1,1,2,2, , , , , ,2, , ,403.888488769531,48744,00
2023,01,017414,092,11,130102,1,1,3,2, , , , , ,2, , ,403.888488769531,48744,00
2023,01,017571,183,11,130613,4,7,1,1,1,5,3, ,3,2, ,1402.59997558594,333.224182128906,11388,00
2023,01,017571,183,11,130613,4,7,2,1,1,5,3, ,3,2, ,1271.80004882813,333.224182128906,11388,00
2023,01,017571,183,11,130613,4,7,3,2, , , , , ,2, , ,333.224182128906,11388,00
2023,01,017882,008,11,150109,8,1,1,2, , , , , ,2, , ,1063.18383789063,49861,00
2023,01,017882,008,11,150109,8,1,2,1,3,3,1,4, ,2,219.065185546875,219.065185546875,1063.18383789063,49861,00
2023,01,017882,008,11,150109,8,1,3,2, , , , , ,2, , ,1063.18383789063,49861,00
2023,02,006069,021,12,070106,8,1,1,2, , , , , ,2, , ,194.588256835938,17669,00
2023,02,006069,021,12,070106,8,1,2,1,2,4,3, ,1,2, ,3710.80004882813,194.588256835938,17669,00
2023,02,006069,021,12,070106,8,1,3,1,2,2,3, ,1,2, ,315.799987792969,194.588256835938,17669,00
2023,02,006069,021,22,070106,8,1,1,2, , , , , ,2, , ,194.588256835938,17669,00
2023,02,006069,021,22,070106,8,1,2,1,2,3,3, ,1,2, ,2783.10009765625,194.588256835938,17669,00
2023,02,006069,021,22,070106,8,1,3,2, , , , , ,2, , ,194.588256835938,17669,00
2023,02,015735,006,11,040128,6,4,1,2, , , , , ,2, , ,286.620361328125,51108,00
2023,02,015735,006,11,040128,6,4,2,1,4,2,1,2, ,2,220.592666625977,220.592666625977,286.620361328125,51108,00
2023,02,015735,006,11,040128,6,4,3,2, , , , , ,2, , ,286.620361328125,51108,00
2023,02,015735,016,11,040128,6,4,1,2, , , , , ,2, , ,286.620361328125,51108,00
2023,02,015735,016,11,040128,6,4,2,1,5,4,1,2, ,2,330.888977050781,330.888977050781,286.620361328125,51108,00
2023,02,015735,016,11,040128,6,4,3,2, , , , , ,2, , ,286.620361328125,51108,00
2023,02,015735,029,11,040128,6,4,1,2, , , , , ,2, , ,286.620361328125,51108,00
2023,02,015735,029,11,040128,6,4,2,1,4,2,1,2, ,2,220.592666625977,220.592666625977,286.620361328125,51108,00
2023,02,015735,029,11,040128,6,4,3,2, , , , , ,2, , ,286.620361328125,51108,00
2023,02,016176,031,11,070106,8,1,1,2, , , , , ,2, , ,257.89501953125,17762,00
2023,02,016176,031,11,070106,8,1,2,1,6,3,3, ,4,2, ,1855.40002441406,257.89501953125,17762,00
2023,02,016176,031,11,070106,8,1,3,2, , , , , ,2, , ,257.89501953125,17762,00
2023,02,016176,050,11,070106,8,1,1,2, , , , , ,2, , ,257.89501953125,17762,00
2023,02,016176,050,11,070106,8,1,2,1,1,6,3, ,1,2, ,4638.60009765625,257.89501953125,17762,00
2023,02,016176,050,11,070106,8,1,3,2, , , , , ,2, , ,257.89501953125,17762,00
2023,02,016176,069,11,070106,8,1,1,2, , , , , ,2, , ,257.89501953125,17762,00
2023,02,016176,069,11,070106,8,1,2,1,4,6,1,12, ,2,1302.80541992188,1302.80541992188,257.89501953125,17762,00
2023,02,016176,069,11,070106,8,1,3,2, , , , , ,2, , ,257.89501953125,17762,00
2023,02,017197,061,11,120117,5,5,1,2, , , , , ,2, , ,653.350769042969,32287,02
2023,02,017197,061,11,120117,5,5,2,1,1,5,1,12.5, ,2,3381.57446289063,3381.57446289063,653.350769042969,32287,02
2023,02,017197,061,11,120117,5,5,3,2, , , , , ,2, , ,653.350769042969,32287,02
2023,02,017832,077,11,150106,8,1,1,2, , , , , ,2, , ,1063.18383789063,46884,00
2023,02,017832,077,11,150106,8,1,2,1,1,3,1,6, ,2,1628.5068359375,1628.5068359375,1063.18383789063,46884,00
2023,02,017832,077,11,150106,8,1,3,2, , , , , ,2, , ,1063.18383789063,46884,00
2023,02,017865,151,14,150137,8,1,1,2, , , , , ,2, , ,797.946228027344,24249,00
2023,02,017865,151,14,150137,8,1,2,1,2,1,1,4, ,2,1314.39111328125,1314.39111328125,797.946228027344,24249,00
2023,02,017865,151,14,150137,8,1,3,2, , , , , ,2, , ,797.946228027344,24249,00
2023,02,018166,072,11,150118,8,1,1,2, , , , , ,2, , ,1063.18383789063,23245,01
2023,02,018166,072,11,150118,8,1,2,1,1,2,1,5, ,2,1369.15734863281,1369.15734863281,1063.18383789063,23245,01
2023,02,018166,072,11,150118,8,1,3,2, , , , , ,2, , ,1063.18383789063,23245,01
2023,03,015714,037,11,040128,6,4,1,2, , , , , ,2, , ,286.620361328125,46356,01
2023,03,015714,037,11,040128,6,4,2,1,5,4,1,3.5, ,2,565.688842773438,565.688842773438,286.620361328125,46356,01
2023,03,015714,037,11,040128,6,4,3,2, , , , , ,2, , ,286.620361328125,46356,01
2023,03,017927,032,11,150132,8,1,1,1,4,5,1,1.5, ,2,162.850677490234,162.850677490234,1063.18383789063,49687,00
2023,03,017927,032,11,150132,8,1,2,1,1,2,1,2, ,2,542.835571289063,542.835571289063,1063.18383789063,49687,00
2023,03,017927,032,11,150132,8,1,3,2, , , , , ,2, , ,1063.18383789063,49687,00
2023,03,018354,126,11,150110,8,1,1,2, , , , , ,2, , ,1063.18383789063,49637,00
2023,03,018354,126,11,150110,8,1,2,1,2,2,1,5, ,2,1615.04211425781,1615.04211425781,1063.18383789063,49637,00
2023,03,018354,126,11,150110,8,1,3,2, , , , , ,2, , ,1063.18383789063,49637,00
2023,04,015275,029,11,021801,2,7,1,2, , , , , ,2, , ,116.020561218262,12581,00
2023,04,015275,029,11,021801,2,7,2,1,3,2,1,10, ,2,534.90576171875,534.90576171875,116.020561218262,12581,00
2023,04,015275,029,11,021801,2,7,3,2, , , , , ,2, , ,116.020561218262,12581,00
2023,04,015275,031,11,021801,2,7,1,2, , , , , ,2, , ,116.020561218262,12581,00
2023,04,015275,031,11,021801,2,7,2,1,1,4,1,12, ,2,3209.4345703125,3209.4345703125,116.020561218262,12581,00
2023,04,015275,031,11,021801,2,7,3,2, , , , , ,2, , ,116.020561218262,12581,00
2023,04,017202,079,11,120133,5,5,1,2, , , , , ,2, , ,606.963623046875,50251,00
2023,04,017202,079,11,120133,5,5,2,1,1,1,1,4, ,2,1059.28991699219,1059.28991699219,606.963623046875,50251,00
2023,04,017202,079,11,120133,5,5,3,2, , , , , ,2, , ,606.963623046875,50251,00
2023,04,017508,047,11,130401,1,4,1,2, , , , , ,2, , ,407.943298339844,09707,01
2023,04,017508,047,11,130401,1,4,2,1,1,5,2,10, ,2,2694.5498046875,2694.5498046875,407.943298339844,09707,01
2023,04,017508,047,11,130401,1,4,3,1,1,5,3, ,4,2, ,657.900024414063,407.943298339844,09707,01
2023,04,018023,003,11,150118,8,1,1,2, , , , , ,2, , ,1075.20373535156,47532,02
2023,04,018023,003,11,150118,8,1,2,1,4,1,1,3, ,2,319.677398681641,319.677398681641,1075.20373535156,47532,02
2023,04,018023,003,11,150118,8,1,3,2, , , , , ,2, , ,1075.20373535156,47532,02
2023,04,020568,004,11,040102,6,1,1,2, , , , , ,2, , ,258.997589111328,42700,00
2023,04,020568,004,11,040102,6,1,2,1,1,2,1,3.5, ,2,942.814758300781,942.814758300781,258.997589111328,42700,00
2023,04,020568,004,11,040102,6,1,3,2, , , , , ,2, , ,258.997589111328,42700,00
2023,05,015474,016,11,030713,6,6,1,2, , , , , ,2, , ,154.029693603516,36802,00
2023,05,015474,016,11,030713,6,6,2,1,1,1,3, ,2,2, ,519.5,154.029693603516,36802,00
2023,05,015474,016,11,030713,6,6,3,2, , , , , ,2, , ,154.029693603516,36802,00
2023,05,017378,087,11,130102,1,1,1,2, , , , , ,2, , ,755.285827636719,10976,00
2023,05,017378,087,11,130102,1,1,2,1,1,6,2,2.5, ,2,658.44970703125,658.44970703125,755.285827636719,10976,00
2023,05,017378,087,11,130102,1,1,3,2, , , , , ,2, , ,755.285827636719,10976,00
2023,05,018065,055,11,150103,8,1,1,2, , , , , ,2, , ,1075.20373535156,23815,00
