AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,CODINFOR,UBIGEO,DOMINIO,ESTRATO,P23,P24_1,P24_2,P24_3,P24_4,P24_5,P24_6,P24_7,P24_8,P24_9,P24_10,P24_11,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P26_8,P26_9,P26_10,P26_11,P26_12,P26_13,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P28,P29_1,P29_2,P29_3,P29_4,P29_5,P29_6,P32,P33_1,P33_2,P34,P34A,P34B,P34C,P34D,P37,P38,P38A,P39B1,P39B2,P40$1,P40$2,P40$3,P40$4,P40$5,P40$6,P40$7,P40$8,P41,P42A$1,P42A$2,P42A$3,P42A$4,P42A$5,P42A$6,P42A$9,P42A$7,P42A$8,P43,P44,P45_1,P45_2,P203_02,P204_02,P205_02,P206_02,P207_02,P208_02,P209_02,P301_02,TICUEST01B,FACTOR
2024,01,015009,022,11,01,00,010101,4,4,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,364.941888557674
2024,01,015009,047,11,01,01,010101,4,4,2,1,1,2,2,2,1,2,2,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0, , , , , , , ,4,1,2, ,3,3, , ,3,1800,2,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,7,2,1,1,2, ,2,39,5,8,2,364.941888557674
2024,01,015009,071,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,3,3, , ,3,1000,2,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,7,7,1,1,2, ,1,53,1,8,2,364.941888557674
2024,01,015009,084,11,02,02,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2, , ,3,1500,1,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,2,1,2, ,2,27,1,6,2,364.941888557674
2024,01,015009,106,11,02,02,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3, ,1,2, , ,3,1500,2,4, ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,2,4,2,2,1,2, ,2,31,1,8,2,364.941888557674
2024,01,015009,118,11,01,00,010101,4,4,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,364.941888557674
2024,01,015024,026,11,02,02,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,3,3, , ,2,800,1,3, ,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4,2,1,2,1,2, ,2,55,2,1,2,424.800081918986
2024,01,015024,039,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,1,1, , ,3,800,1,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,2,1,1,2, ,2,55,5,4,2,424.800081918986
2024,01,015024,069,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3, ,2,2,2,2,2,2000,2,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,5,4,1,1,2, ,2,26,6,7,2,424.800081918986
2024,01,015024,083,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,4,4, , ,3,1500,3,6, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,1,1,1,2, ,1,59,1,8,2,424.800081918986
2024,01,015024,123,11,01,00,010101,4,4,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,424.800081918986
2024,01,015040,021,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2, , , , , ,3,1000,2,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,9,1,1,2, ,1,28,6,6,2,713.447937125322
2024,01,015040,046,22,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , , , , ,3,300,3,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,1,1,1,2, ,2,75,3,3,2,713.447937125322
2024,01,015040,089,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,3,3,3,3,2,400,1,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,2,1,1,2, ,2,70,5,6,2,713.447937125322
2024,01,015040,110,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,2, ,3,3,3,3,3,1000,2,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,3,1,1,2, ,1,37,1,6,2,713.447937125322
2024,01,015040,132,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,1,1,1,1,3,600,1,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,5,1,1,2, ,2,34,5,6,2,713.447937125322
2024,01,015040,153,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,2,2,2,2,3,500,3,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,2,1,1,2, ,2,43,5,1,2,713.447937125322
2024,01,015052,012,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,2,3,3,2,1000,1,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,2, ,1,37,2,6,2,695.611738697189
2024,01,015052,023,11,02,02,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,6,1,1,2,3,3,2000,2,5, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,1,2,1,2, ,2,50,2,6,2,695.611738697189
2024,01,015052,044,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,3, ,2,2, , ,2,500,2,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,1,1,1,2, ,2,43,5,3,2,695.611738697189
2024,01,015052,053,11,02,02,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,1,6,3,3,3,3,3,1200,3,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,1,2,1,2, ,1,43,1,8,2,695.611738697189
2024,01,015052,064,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3, ,3,3,3,3,2,2000,3,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,1,1,1,2, ,2,35,5,5,2,695.611738697189
2024,01,015052,074,11,02,02,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,2, ,3,4,3,3,2,600,2,4, ,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,10,10,2,1,2, ,2,32,1,3,2,695.611738697189
2024,01,015058,020,11,01,01,010706,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,2, , , , , ,3,1500,1,5, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,3,1,1,2, ,1,66,2,6,2,695.611738697189
2024,01,015058,052,11,02,02,010706,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2, ,1,3,1,1,3,100,2,5, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,5,5,2,1,2, ,2,33,2,6,2,695.611738697189
2024,01,015058,068,11,01,01,010706,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , , , , ,3,1000,2,4, ,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,2,2,10,2,1,1,2, ,1,30,6,8,2,695.611738697189
2024,01,015065,008,11,01,01,010201,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, , , , , ,3,700,2,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,7,7,1,1,2, ,2,26,6,6,2,713.447937125322
2024,01,015065,025,11,01,01,010201,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , , , , ,3,2500,2,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,2,1,1,2, ,2,44,5,8,2,713.447937125322
2024,01,015065,059,11,02,02,010201,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,3,3,3,3,3,1000,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,5,2,2,1,2, ,2,36,1,6,2,713.447937125322
2024,01,015065,076,13,01,01,010201,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,2,2,2,2,3,1200,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,2,1,1,2, ,1,38,1,5,2,713.447937125322
2024,01,015065,076,23,01,01,010201,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,2,2,2,2,100,1,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,1,1,1,2, ,2,36,5,5,2,713.447937125322
2024,01,015065,076,33,02,02,010201,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,7,1,1,2,2,3,2000,2,2, ,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1, ,10,1,2,1,2, ,2,32,1,6,2,713.447937125322
2024,01,015065,094,12,02,02,010201,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,2,2,2,2,600,2,2, ,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,5,3,3,2,1,2, ,2,31,1,6,2,713.447937125322
2024,01,015065,094,22,01,01,010201,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , , , , ,2,1000,3,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,3,1,1,2, ,1,81,3,4,2,713.447937125322
2024,01,015065,111,11,01,01,010201,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,3,3, , ,2,6000,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,10,1,1,2, ,2,62,3,5,2,713.447937125322
2024,01,015080,037,11,01,01,010101,4,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2, ,3,3,2,2,3,500,2,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,1,1,1,2, ,1,43,2,4,2,358.071465272177
2024,01,015080,038,11,01,01,010101,4,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,1,1,3,3,3,1000,1,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,2, ,1,46,2,3,2,358.071465272177
2024,01,015080,039,11,01,01,010101,4,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,2,2, , ,3,500,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,1,1,1,2, ,1,56,6,3,2,358.071465272177
2024,01,015080,040,11,01,01,010101,4,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,2, ,2,2, , ,3,500,2,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,2, ,1,39,2,4,2,358.071465272177
2024,01,015080,086,11,01,01,010101,4,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,3,2, , ,3,200,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,1,1,1,2, ,2,81,3,3,2,358.071465272177
2024,01,015080,093,11,01,01,010101,4,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,6,2,2, , ,3,1500,2,5, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,2,1,1,2, ,2,52,6,10,2,358.071465272177
2024,01,015080,096,11,02,02,010101,4,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,3,3, , ,3,1000,2,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,1,2,1,2, ,2,56,2,4,2,358.071465272177
2024,01,015080,097,11,02,02,010101,4,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2, ,3,3, , ,3,1000,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,2,2,1,2, ,2,43,2,4,2,358.071465272177
2024,01,015082,051,11,01,01,010521,4,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2, ,3,3, , ,3,100,1,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,2, ,1,37,5,4,2,358.071465272177
2024,01,015082,052,11,01,01,010521,4,8,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,3, ,3,3, , ,3,600,2,4, ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1, ,2,1,1,1,2, ,2,61,3,4,2,358.071465272177
