AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,CODINFOR,UBIGEO,DOMINIO,ESTRATO,P23,P32,P33_1,P33_2,P34,P34A,P34B,P37,P38,P38A,P39B1,P39B2,P40$1,P40$2,P40$3,P40$4,P40$5,P40$6,P40$7,P40$8,P41,P42A$1,P42A$2,P42A$3,P42A$4,P42A$5,P42A$6,P42A$9,P42A$7,P42A$8,P43,P44,P45_1,P45_2,P203_02,P204_02,P205_02,P206_02,P207_02,P208_02,P209_02,P301_02,TICUEST01B,FACTOR07
2014,01,0039,006,11,01,01,010109,4,8,2,2,2,2, ,2,2,3,800,1,2,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,1,1,1,2, ,2,73,3,1,2,74.62
2014,01,0039,007,11,01,01,010109,4,8,2,2,2,2, ,2,3,3,800,1,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,1,1,1,2, ,1,76,2,3,2,74.62
2014,01,0039,011,11,01,01,010109,4,8,2,3,1,1,6, , ,3,100,1,3,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,1,1,1,2, ,1,30,6,5,2,74.62
2014,01,0039,090,11,01,01,010109,4,8,2,2,2,2, , , ,3,500,1,1,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,1,1,1,2, ,1,23,1,4,2,74.62
2014,01,0039,092,11,02,02,010109,4,8,2,2,2,2, ,2,3,3,900,1,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,3,2,1,2,1,2, ,2,46,2,5,2,74.62
2014,01,0039,093,11,02,02,010109,4,8,2,2,2,2, , , ,2,500,1,2,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,10,2,1,2, ,2,38,2,1,2,74.62
2014,01,0039,108,11,02,02,010109,4,8,2,2,2,2, ,2,2,3,500,1,3,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,10,2,1,2, ,2,51,2,4,2,74.62
2014,01,0039,115,11,01,01,010109,4,8,2,2,2,2, ,2,3,3,500,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,4,3,2,1,1,2, ,1,33,2,3,2,74.62
2014,01,0044,003,11,01,01,010201,7,4,2,2,2,2, , , ,3,1800,2,4, ,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,5,4,1,1,2, ,1,54,2,10,2,112.67
2014,01,0044,017,11,01,01,010201,7,4,2,4,2,1,3, , ,2,3000,2,4,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,5,5,1,1,2, ,1,53,2,10,2,112.67
2014,01,0044,037,11,01,01,010201,7,4,2,2,1,2, , , ,3,2000,2,5,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,2,1,1,2, ,1,59,2,10,2,112.67
2014,01,0044,048,11,01,00,010201,7,4,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,112.67
2014,01,0044,068,11,01,01,010201,7,4,2,2,2,1,7, , ,3,4000,3,6,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,1,1,1,2, ,1,43,1,9,2,112.67
2014,01,0044,090,11,01,01,010201,7,4,2,2,2,2, , , ,3,300,1,2,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,10,1,1,2, ,1,70,3,3,2,112.67
2014,01,0053,004,11,02,02,010201,7,4,2,4,1,1,6,1,3,3,1000,2,3,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1, ,2,9,2,1,2, ,2,28,1,4,2,112.67
2014,01,0053,015,11,01,01,010201,7,4,1,2,2,1,6, , ,3,3000,3,4,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,4,7,1,1,2, ,1,27,1,9,2,112.67
2014,01,0053,032,11,01,01,010201,7,4,2,2,1,2, ,2,2,3,400,2,1,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,1,1,1,2, ,2,47,5,4,2,112.67
2014,01,0053,077,11,02,02,010201,7,4,2,4,1,1,7, , ,3,1000,2,6,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1, ,2,2,2,1,2, ,2,24,1,4,2,112.67
2014,01,0053,092,11,01,01,010201,7,4,2,4,3,3, , , ,3,600,2,3,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,1,1,1,2, ,1,26,1,6,2,112.67
2014,01,0053,121,11,01,01,010201,7,4,2,4,3,3, ,2,2,2,300,1,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,2, ,1,45,2,3,2,112.67
2014,01,0133,018,11,01,01,020101,5,3,2,2,2,3, , , ,3,1200,3,3, ,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,10,1,1,1,2, ,1,70,2,3,2,505.7
2014,01,0133,031,11,01,01,020101,5,3,2,2,2,2, , , ,3,1500,3,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,1,1,1,2, ,1,42,2,8,2,505.7
2014,01,0133,047,12,01,01,020101,5,3,2,2,2,2, , , ,3,1500,3,1, ,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4,2,2,1,1,2, ,1,86,2,5,2,505.7
2014,01,0133,047,22,01,01,020101,5,3,2,2,3,3, , , ,3,2000,3,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,2, ,2,44,1,10,2,505.7
